Time,sGPU_0_Memory_Usage(MB),sGPU_1_Memory_Usage(MB),sGPU_2_Memory_Usage(MB),sGPU_3_Memory_Usage(MB),sGPU_4_Memory_Usage(MB),sGPU_5_Memory_Usage(MB),sGPU_6_Memory_Usage(MB)
32.68,462.28,532.77,266.93,395.86,399.40,401.35,454.02
32.79,479.54,518.66,302.66,461.76,348.21,428.79,482.02
32.89,474.68,490.67,304.12,440.14,365.65,389.24,460.24
32.99,449.57,505.65,344.95,449.95,342.50,419.11,449.48
33.09,431.11,499.15,301.49,456.57,363.55,362.55,466.83
33.19,442.60,479.74,288.54,433.67,396.27,419.77,470.19
33.29,473.52,493.22,309.49,490.16,397.90,428.44,452.21
33.39,447.95,473.84,277.64,430.70,439.76,435.97,450.94
33.58,434.30,469.07,261.51,426.49,404.92,445.81,472.67
39.22,361.06,528.37,362.68,521.47,352.59,349.93,396.58
39.34,430.67,488.61,395.45,500.47,366.57,326.81,374.50
39.44,369.10,518.32,380.44,560.52,363.27,353.11,366.67
39.54,360.03,526.01,399.51,538.73,394.86,346.80,348.68
39.64,384.88,486.05,382.31,488.63,358.93,299.84,384.25
39.74,398.49,536.00,407.14,478.85,384.71,328.53,385.30
39.84,415.25,532.70,390.60,503.46,410.70,317.37,396.39
39.94,366.19,549.72,382.50,540.59,385.20,353.26,420.33
40.04,377.26,551.25,369.29,507.33,367.74,319.92,361.87
40.14,399.81,539.49,418.37,471.45,366.89,365.82,410.72
40.25,427.93,552.46,370.05,498.15,359.67,335.96,421.05
40.35,401.96,537.29,374.11,477.61,381.22,316.87,379.06
40.45,413.45,560.68,338.35,475.66,380.67,345.26,430.81
40.55,424.72,513.68,340.90,475.59,352.50,336.28,415.87
40.65,442.81,511.80,360.25,516.64,398.29,348.37,438.36
40.75,442.73,610.68,365.82,498.65,347.94,339.51,417.88
40.85,399.23,518.49,362.53,483.99,352.57,337.48,412.53
40.95,412.33,542.91,335.79,464.49,378.58,356.67,430.11
41.05,458.73,538.61,341.65,484.09,404.61,325.14,447.29
41.15,467.83,541.57,332.68,481.87,354.87,335.83,436.11
41.27,449.89,525.60,377.33,487.23,332.53,380.61,483.59
41.57,453.06,560.42,367.73,466.95,357.85,341.92,446.63
41.75,457.65,547.52,324.41,443.95,332.52,393.43,479.76
41.95,440.28,542.25,323.09,427.72,396.16,349.47,434.05
43.74,437.65,493.83,292.82,467.62,436.11,420.86,470.26
43.87,423.63,451.24,304.80,465.51,407.56,446.39,438.30
43.97,466.88,452.73,295.50,486.15,446.58,414.09,463.99
44.07,432.43,488.49,281.25,463.65,429.03,446.73,429.67
44.17,428.45,491.53,277.76,445.70,416.71,403.84,465.67
44.27,438.20,443.70,285.91,451.52,446.09,426.02,432.88
44.37,441.45,474.92,264.29,452.76,405.19,436.82,472.87
44.47,418.14,486.21,256.36,479.85,435.46,444.65,441.86
44.57,446.26,438.22,291.57,472.33,438.06,423.64,441.61
44.67,411.63,467.03,294.25,448.71,428.77,418.36,432.83
44.77,414.15,460.38,317.94,485.17,442.72,442.12,437.10
44.87,389.51,431.76,285.71,461.61,439.57,468.62,429.45
44.97,390.03,420.04,275.72,486.04,428.99,445.57,397.68
45.07,400.14,475.91,264.01,491.94,442.52,416.40,405.71
45.17,387.03,439.67,301.87,512.13,436.44,392.52,391.08
45.27,387.85,429.54,281.40,507.94,419.26,404.36,397.02
45.37,412.89,409.29,309.95,469.88,430.72,413.05,412.83
45.47,369.05,421.43,345.25,463.59,446.05,422.00,399.37
45.57,399.77,426.40,291.91,518.20,433.39,402.12,438.26
45.67,366.60,443.73,294.26,497.76,478.85,431.83,379.58
45.77,351.83,433.14,308.22,538.17,460.82,456.38,414.66
45.87,392.79,468.29,278.15,529.71,488.37,408.00,430.22
45.97,372.71,445.91,328.11,521.34,461.23,429.45,378.42
46.07,378.28,463.24,337.23,540.23,432.11,370.95,366.14
46.18,375.56,434.53,347.76,504.92,416.48,372.60,407.15
46.28,378.98,450.21,338.93,531.16,454.21,403.38,392.65
46.38,356.25,439.79,318.89,556.54,486.50,400.73,397.26
46.48,351.38,413.37,309.30,564.49,451.30,438.14,421.95
46.58,343.08,453.00,329.77,569.98,445.24,402.80,391.76
46.68,388.10,421.50,323.87,523.18,441.99,402.61,337.86
46.78,378.71,461.74,330.22,518.65,500.49,393.53,378.93
46.88,331.78,445.74,343.66,562.63,450.32,385.97,364.41
46.98,333.47,452.55,331.31,542.18,450.59,395.83,372.18
47.08,379.21,477.50,333.11,501.82,402.92,369.24,382.83
47.18,354.05,470.09,357.52,534.18,420.00,423.09,399.55
47.28,378.78,412.42,341.08,567.79,435.24,374.65,362.61
47.38,399.10,439.85,351.39,520.93,442.23,365.79,353.41
47.48,363.62,460.94,352.68,534.32,422.37,387.62,382.85
47.58,297.92,493.01,365.60,554.44,435.44,383.73,312.41
47.68,373.70,486.11,372.77,514.28,383.42,333.49,355.71
47.78,353.97,505.13,350.15,540.98,442.42,342.28,371.55
47.88,354.40,475.23,364.49,499.21,426.69,375.23,379.88
47.98,354.41,461.86,375.70,579.73,455.39,366.52,359.78
48.08,356.63,452.26,358.85,592.54,407.67,337.48,369.23
48.18,351.48,469.06,384.45,548.28,420.45,371.63,341.22
48.28,392.18,506.06,384.42,539.35,443.30,349.63,394.89
48.38,346.90,518.49,364.64,550.41,463.07,351.38,413.34
48.48,382.95,474.25,372.21,532.91,390.92,341.99,343.20
48.58,357.38,495.43,359.67,562.81,398.50,382.49,384.82
48.68,376.71,462.70,370.18,564.80,412.83,389.59,339.76
48.78,358.49,493.28,413.46,543.62,380.02,340.44,390.79
48.88,403.50,482.17,380.32,523.36,418.83,318.43,353.93
48.98,368.74,496.62,351.79,527.71,396.79,339.27,402.05
49.09,381.68,502.69,390.31,535.10,353.20,306.84,412.28
49.19,334.93,512.47,421.67,523.08,368.66,339.39,395.29
49.29,394.43,503.39,374.74,523.48,391.58,321.03,377.44
49.39,401.53,551.93,371.20,525.01,359.04,357.12,396.95
49.49,360.14,531.08,394.88,491.34,392.61,331.88,360.75
49.59,383.94,554.34,385.07,512.75,399.40,349.42,417.58
49.69,406.32,534.16,387.66,533.83,354.11,339.97,374.55
49.79,405.93,516.49,410.20,513.43,372.22,340.83,411.62
49.89,397.62,548.67,383.01,481.22,356.90,341.78,383.80
49.99,441.28,524.23,393.58,500.30,421.57,339.65,404.50
50.09,412.50,514.95,361.33,508.59,347.24,337.77,426.25
50.19,387.43,563.09,405.36,494.22,300.87,326.36,376.13
50.29,398.76,569.71,381.04,446.77,337.19,336.64,396.66
50.39,446.75,538.31,389.74,511.30,314.57,317.29,403.38
50.49,452.64,536.72,364.15,444.25,374.72,345.48,428.38
50.59,427.57,524.27,381.11,487.13,374.77,331.10,432.69
50.69,404.94,540.72,358.51,481.73,377.03,364.30,417.62
50.79,457.26,557.19,359.29,468.67,343.01,368.81,408.84
50.89,461.15,549.61,393.04,465.70,356.85,358.78,416.21
50.99,439.35,582.78,363.78,467.75,363.86,364.69,405.51
51.09,419.47,554.18,340.00,492.25,377.30,330.80,426.44
51.19,444.27,558.09,383.88,482.24,351.38,377.59,411.64
51.29,469.95,523.39,328.75,471.02,371.36,334.47,404.23
51.39,440.07,541.53,369.93,459.16,359.36,376.59,440.26
51.49,417.65,544.45,329.31,458.91,309.44,395.15,438.70
51.59,462.46,554.37,349.80,462.07,375.27,386.27,406.23
51.69,450.86,581.97,340.11,449.08,367.97,372.07,437.62
51.79,453.12,497.39,346.55,473.65,412.40,396.52,435.43
51.89,460.07,529.59,329.90,443.24,382.12,367.40,429.95
51.99,477.20,529.52,339.15,473.39,358.04,411.77,449.53
52.09,463.67,499.69,309.93,432.41,380.03,385.51,431.80
52.19,459.52,505.14,332.93,432.46,355.65,417.51,449.27
52.29,448.04,521.03,297.19,453.01,379.54,369.08,421.85
52.40,473.21,514.79,313.76,465.91,370.75,392.88,441.37
52.50,486.82,504.16,263.89,436.40,436.22,408.57,417.31
52.60,449.89,541.49,295.54,451.73,366.69,419.86,456.66
52.70,430.37,515.98,339.69,415.94,372.74,423.82,454.51
52.80,443.31,515.87,288.64,443.06,410.61,406.67,492.49
52.90,496.20,505.28,325.29,466.65,376.68,422.89,461.52
53.00,465.79,485.34,269.12,442.55,383.40,376.38,463.04
53.10,465.84,508.21,341.38,429.79,402.42,415.95,439.45
53.20,442.69,501.62,281.29,421.95,395.25,386.02,471.07
53.30,448.29,480.38,289.60,443.63,353.53,436.44,455.96
53.40,437.02,495.03,281.68,439.19,373.53,434.23,480.11
53.50,433.07,499.90,316.80,443.57,414.49,398.05,473.24
53.60,447.25,492.64,293.24,435.48,408.23,402.56,463.92
53.70,438.05,503.34,305.39,447.71,408.77,462.32,444.24
53.80,466.22,496.97,290.08,456.13,383.16,425.45,474.97
53.90,449.43,486.55,257.67,444.45,382.05,427.48,480.43
54.00,452.68,451.73,294.46,450.75,436.98,460.14,420.65
54.10,398.79,463.67,282.48,460.18,443.33,459.44,495.47
54.20,475.86,443.97,251.05,483.62,411.10,448.90,448.33
54.30,407.06,504.26,282.18,455.58,441.37,424.20,426.94
54.40,419.01,465.06,316.27,500.98,428.05,441.36,413.62
54.50,423.75,478.55,284.84,493.14,456.76,455.04,430.59
54.60,431.27,452.05,299.58,461.36,404.13,447.53,419.30
54.70,423.21,453.01,296.53,494.99,443.38,422.67,401.18
54.80,447.55,435.35,275.42,496.45,434.69,449.76,452.28
54.90,426.52,473.36,292.47,458.58,450.82,441.31,435.89
55.00,403.45,433.58,293.53,500.57,447.20,438.48,412.93
55.10,366.82,412.67,289.22,465.95,442.51,447.58,459.44
55.20,418.70,432.97,257.19,494.60,471.99,444.79,413.58
55.31,429.73,460.80,309.70,487.31,490.80,413.55,419.96
55.41,388.64,434.72,328.31,501.16,467.79,459.42,411.64
55.51,379.83,438.30,274.54,472.12,506.75,398.12,424.93
55.61,424.92,454.48,280.74,504.97,440.58,427.21,399.02
55.71,409.77,455.99,329.96,517.73,459.43,431.33,396.87
55.81,386.07,466.31,350.83,515.17,459.23,422.00,379.10
55.91,352.59,464.56,292.60,479.52,434.19,418.64,410.27
56.01,398.88,432.28,325.99,510.65,448.99,407.78,394.47
56.11,386.74,426.73,335.00,521.10,441.42,408.35,390.08
